graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,24,9,8.44,-1,xgboost,0,0.9836,0.9835130841970382,0.9838083182073876,0.9835724756992512
sbm10k,n2v,24,9,8.17,-1,xgboost,1,0.984,0.98397628432413,0.9839271614104956,0.9838585659200586
sbm10k,n2v,24,9,8.27,-1,xgboost,2,0.9844,0.9846634115290964,0.9847200155128089,0.98453454312115
sbm10k,n2v,24,9,8.03,-1,xgboost,3,0.9808,0.9806976988466898,0.9811126032967687,0.9807492079857624
sbm10k,n2v,24,9,8.14,-1,xgboost,4,0.978,0.978132987296823,0.9784943325689656,0.9781692872080916
sbm10k,n2v,24,9,8.25,-1,xgboost,5,0.9824,0.9818751910124384,0.9819540889173493,0.9817999073030274
sbm10k,n2v,24,9,8.12,-1,xgboost,6,0.9816,0.981520396894308,0.9815207767960792,0.981412444009806
sbm10k,n2v,24,9,8.11,-1,xgboost,7,0.9836,0.9832908318911512,0.9829869309700082,0.98305226376074
sbm10k,n2v,24,9,8.12,-1,xgboost,8,0.9816,0.9808844938327332,0.981371102878117,0.9810110089094708
sbm10k,n2v,24,9,8.35,-1,xgboost,9,0.9856,0.9852257063923804,0.9858857102222036,0.9854526602524708
sbm10k,n2v,26,9,9.07,-1,xgboost,0,0.9848,0.9849000783598962,0.9851214457343102,0.9848942495899624
sbm10k,n2v,26,9,9.28,-1,xgboost,1,0.9788,0.9786742025007604,0.9788624144435322,0.9786042181452288
sbm10k,n2v,26,9,9.22,-1,xgboost,2,0.9816,0.9814735484440038,0.980830028156378,0.9810034679679576
sbm10k,n2v,26,9,8.67,-1,xgboost,3,0.9788,0.9786333322817388,0.9782349406989692,0.9781929210174404
sbm10k,n2v,26,9,9.21,-1,xgboost,4,0.98,0.9802079873149796,0.9798031909566688,0.979875036362553
sbm10k,n2v,26,9,10.2,-1,xgboost,5,0.9776,0.9779094179592528,0.9770022680200846,0.9773214617368212
sbm10k,n2v,26,9,9.18,-1,xgboost,6,0.9824,0.9821133338037216,0.982637142470634,0.982199107418013
sbm10k,n2v,26,9,9.24,-1,xgboost,7,0.9848,0.984574086477838,0.9842498040796178,0.9842901836952258
sbm10k,n2v,26,9,9.17,-1,xgboost,8,0.9804,0.9805805065914672,0.9805671845896122,0.9804564749289136
sbm10k,n2v,26,9,9.34,-1,xgboost,9,0.9816,0.9808947682054694,0.9814022851242602,0.9810291183095022
sbm10k,n2v,28,9,9.28,-1,xgboost,0,0.9832,0.9830453650341576,0.9833297878951742,0.9830805160839076
sbm10k,n2v,28,9,9.2,-1,xgboost,1,0.9788,0.9787946648603862,0.9787608422945856,0.9786317898368646
sbm10k,n2v,28,9,9.46,-1,xgboost,2,0.984,0.9839031243062968,0.9841609792539506,0.9839184523704264
sbm10k,n2v,28,9,9.05,-1,xgboost,3,0.9752,0.9754874754694378,0.9750550296768172,0.9751540647172022
sbm10k,n2v,28,9,9.38,-1,xgboost,4,0.9848,0.9848939161057808,0.984499461539008,0.9846106627949174
sbm10k,n2v,28,9,9.34,-1,xgboost,5,0.9836,0.9830184510717616,0.9836873879949224,0.9832425484262404
sbm10k,n2v,28,9,9.14,-1,xgboost,6,0.9796,0.9792303621945364,0.9795342031355252,0.9792610775786026
sbm10k,n2v,28,9,9.28,-1,xgboost,7,0.9812,0.981405134970574,0.9813357341973866,0.9811929915242112
sbm10k,n2v,28,9,9.44,-1,xgboost,8,0.9808,0.9806377416123868,0.9806701099193228,0.980541992973692
sbm10k,n2v,28,9,10.25,-1,xgboost,9,0.9876,0.987482226672028,0.987256456300786,0.987241763786076
sbm10k,n2v,30,9,10.4,-1,xgboost,0,0.988,0.98764682105844,0.9885497955114764,0.9879981321293028
sbm10k,n2v,30,9,10.66,-1,xgboost,1,0.9832,0.9831307946226762,0.9831878314137612,0.983092217018365
sbm10k,n2v,30,9,10.54,-1,xgboost,2,0.9788,0.9786562483301184,0.9790000773761006,0.9786922888826032
sbm10k,n2v,30,9,10.39,-1,xgboost,3,0.9828,0.9826570657751552,0.9826524386181354,0.9825430006409464
sbm10k,n2v,30,9,10.71,-1,xgboost,4,0.9844,0.9841098633362936,0.9841347190184132,0.984032612874826
sbm10k,n2v,30,9,10.48,-1,xgboost,5,0.9796,0.9795984559089193,0.9790332486344084,0.9792214912253872
sbm10k,n2v,30,9,10.61,-1,xgboost,6,0.9824,0.982432583180255,0.982551131636303,0.9823713935252026
sbm10k,n2v,30,9,10.88,-1,xgboost,7,0.982,0.9821856000695136,0.9813249998222372,0.9816295572371944
