graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
sbm10k,hope,26,ppr,815.8,-1,6.75,0.062522498409212,0.0,0.0,6.75,0.1969999999999999,0.0174313875752907
sbm10k,hope,28,ppr,817.78,-1,6.75,0.0559793148861977,0.0,0.0,5.5,0.1939999999999999,0.0173304348243199
sbm10k,hope,30,ppr,808.1,-1,6.75,0.0527185894130599,0.0,0.0,5.5,0.1925,0.0172793621120688
sbm10k,hope,32,ppr,818.59,-1,6.75,0.0475446509088156,0.0,0.0,5.5,0.1889999999999999,0.0171586218327696
lfr10k,n2v,2,1,469.53,-1,1.5,0.1590231898268798,0.0,0.0,2.75,0.17,0.0164628332919944
lfr10k,n2v,4,1,569.39,-1,3.75,0.1374950162664919,0.0,0.0,3.5,0.1464999999999999,0.0154975001274399
lfr10k,n2v,6,1,881.14,-1,6.5,0.0876055449407336,0.0,0.0,3.75,0.1284999999999999,0.0146664948164174
lfr10k,n2v,8,1,902.97,-1,6.75,0.0555339014959032,0.0,0.0,3.0,0.119,0.0141906571799899
lfr10k,n2v,10,1,805.63,-1,5.75,0.0416703308424494,0.0,0.0,3.0,0.119,0.0141906571799899
lfr10k,n2v,12,1,828.53,-1,6.0,0.0305823136352633,0.0,0.0,3.75,0.1089999999999999,0.0136581907733052
lfr10k,n2v,14,1,821.52,-1,6.0,0.0232434470519808,0.0,0.0,4.25,0.1085,0.0136306515691657
lfr10k,n2v,16,1,818.17,-1,6.0,0.017221578130518,0.0,0.0,5.25,0.1065,0.0135195786250903
lfr10k,n2v,18,1,857.05,-1,6.5,0.0129596941734092,0.0,0.0,4.25,0.0995,0.0131188109141034
lfr10k,n2v,20,1,889.31,-1,6.75,0.0101510620723768,0.0,0.0,5.5,0.0939999999999999,0.0127899574354256
lfr10k,n2v,22,1,870.76,-1,6.75,0.0067427264189636,0.0,0.0,6.25,0.0939999999999999,0.0127899574354256
lfr10k,n2v,24,1,901.26,-1,7.0,0.0059007773244632,0.0,0.0,6.5,0.0819999999999999,0.0120245640586259
lfr10k,n2v,26,1,958.24,-1,7.5,0.0041805423848516,0.0,0.0,7.25,0.0805,0.0119238054244439
lfr10k,n2v,28,1,948.71,-1,7.5,0.003170033799487,0.0,0.0,6.5,0.0795,0.0118559547823024
lfr10k,n2v,30,1,1025.45,-1,7.75,0.0023775764376416,0.0,0.0,8.25,0.0789999999999999,0.0118218224990903
lfr10k,n2v,32,1,1063.35,-1,8.5,0.001785117902158,0.0,0.0,8.5,0.0775,0.0117185833188146
sbm10k,n2v,2,1,579.8,-1,2.0,0.1341974648515758,0.0,0.0,4.25,0.3249999999999999,0.0205274328643403
sbm10k,n2v,4,1,680.28,-1,4.75,0.1113834124299806,0.0,0.0,5.25,0.2495,0.0189649497705635
sbm10k,n2v,6,1,953.94,-1,8.0,0.0709387305361554,0.0,0.0,5.0,0.2139999999999999,0.0179745999454786
sbm10k,n2v,8,1,990.99,-1,8.25,0.0421810816030737,0.0,0.0,3.25,0.1959999999999999,0.0173979121506001
sbm10k,n2v,10,1,961.34,-1,8.0,0.0277516400458904,0.0,0.0,6.0,0.164,0.0162280424943983
sbm10k,n2v,12,1,937.0,-1,7.75,0.0187952455648675,0.0,0.0,5.0,0.1464999999999999,0.0154975001274399
sbm10k,n2v,14,1,926.31,-1,7.5,0.0138976157031995,0.0,0.0,6.5,0.132,0.0148350119919061
sbm10k,n2v,16,1,956.13,-1,7.75,0.0086997727043622,0.0,0.0,7.5,0.1169999999999999,0.0140868651161285
sbm10k,n2v,18,1,909.26,-1,7.25,0.0073931527849163,0.0,0.0,6.0,0.1065,0.0135195786250903
sbm10k,n2v,20,1,914.0,-1,7.25,0.0065934647422314,0.0,0.0,5.25,0.1019999999999999,0.013264147043817
sbm10k,n2v,22,1,928.27,-1,7.5,0.0051710341354647,0.0,0.0,6.25,0.0929999999999999,0.012728762736417
sbm10k,n2v,24,1,911.88,-1,7.25,0.0037517396202657,0.0,0.0,6.75,0.0819999999999999,0.0120245640586259
sbm10k,n2v,26,1,940.75,-1,7.5,0.002353579407568,0.0,0.0,4.5,0.0709999999999999,0.0112558450238087
sbm10k,n2v,28,1,887.73,-1,7.0,0.0013125349828013,0.0,0.0,6.5,0.0655,0.0108430479017663
sbm10k,n2v,30,1,919.57,-1,7.25,0.0008174478769447,0.0,0.0,6.25,0.0605,0.0104488177225942
sbm10k,n2v,32,1,914.94,-1,7.25,0.0003657184977113,0.0,0.0,5.5,0.0595,0.0103676172672413
lfr10k,hope,2,katz,844.38,-1,6.0,0.149892639151371,0.0,0.0,3.0,0.1885,0.0171411917380326
lfr10k,hope,4,katz,966.46,-1,7.25,0.1429386796534552,0.0,0.0,3.25,0.1875,0.0171061940536169
lfr10k,hope,6,katz,1022.93,-1,7.75,0.135388946443685,0.0,0.0,4.0,0.186,0.0170533516705661
lfr10k,hope,8,katz,935.79,-1,6.75,0.1299330437300621,0.0,0.0,4.25,0.184,0.0169822435266957
lfr10k,hope,10,katz,855.42,-1,6.25,0.1235906255494858,0.0,0.0,3.25,0.1825,0.0169284185616967
lfr10k,hope,12,katz,943.8,-1,7.0,0.1184965213606517,0.0,0.0,3.25,0.178,0.0167643601965598
lfr10k,hope,14,katz,970.04,-1,7.0,0.1116745406301033,0.0,0.0,3.25,0.178,0.0167643601965598
lfr10k,hope,16,katz,951.71,-1,6.75,0.1066151403442541,0.0,0.0,3.5,0.179,0.016801156126886
lfr10k,hope,18,katz,991.98,-1,7.0,0.1004631671106047,0.0,0.0,3.25,0.1795,0.0168194810799857
lfr10k,hope,20,katz,1000.68,-1,7.25,0.0965070639095852,0.0,0.0,3.25,0.1785,0.0167827825523659
lfr10k,hope,22,katz,957.94,-1,6.75,0.0918832953763429,0.0,0.0,3.75,0.178,0.0167643601965598
lfr10k,hope,24,katz,977.9,-1,7.0,0.0862158771582648,0.0,0.0,3.75,0.174,0.0166152056622841
lfr10k,hope,26,katz,967.7,-1,7.0,0.0811206700884953,0.0,0.0,3.75,0.174,0.0166152056622841
lfr10k,hope,28,katz,954.1,-1,6.75,0.0778368109694831,0.0,0.0,3.75,0.1714999999999999,0.0165203556317653
lfr10k,hope,30,katz,1029.97,-1,7.0,0.0732219029820736,0.0,0.0,3.5,0.168,0.0163854124391179
lfr10k,hope,32,katz,1015.68,-1,7.25,0.0682946969545697,0.0,0.0,3.5,0.164,0.0162280424943983
sbm10k,n2v,2,9,668.89,-1,2.0,0.134110774755249,0.0,0.0,5.0,0.308,0.0202334284984033
sbm10k,n2v,4,9,996.25,-1,5.5,0.1100875883149776,0.0,0.0,8.0,0.248,0.0189267407865168
sbm10k,n2v,6,9,969.41,-1,7.75,0.0728359657378207,0.0,0.0,4.25,0.2069999999999999,0.0177567238194437
sbm10k,n2v,8,9,1038.85,-1,8.0,0.0425891102491583,0.0,0.0,6.0,0.1965,0.0174146716937184
sbm10k,n2v,10,9,989.89,-1,7.75,0.0279869922672161,0.0,0.0,6.0,0.162,0.0161480687637872
sbm10k,n2v,12,9,971.54,-1,7.5,0.0189285967272607,0.0,0.0,4.75,0.153,0.0157771478030726
sbm10k,n2v,14,9,1004.35,-1,7.75,0.0125726173273434,0.0,0.0,4.25,0.1304999999999999,0.0147632210509766
sbm10k,n2v,16,9,1044.73,-1,7.5,0.0080512221133948,0.0,0.0,4.5,0.122,0.0143439329613603
sbm10k,n2v,18,9,964.88,-1,7.5,0.0074345855284949,0.0,0.0,4.25,0.1099999999999999,0.013712998213374
sbm10k,n2v,20,9,990.76,-1,7.5,0.0066906949094822,0.0,0.0,4.5,0.1009999999999999,0.0132063136112997
sbm10k,n2v,22,9,997.57,-1,7.5,0.0049325943549014,0.0,0.0,6.5,0.0869999999999999,0.012351966029746
sbm10k,n2v,24,9,954.21,-1,7.25,0.0036422334111283,0.0,0.0,4.75,0.0835,0.0121241289254115
sbm10k,n2v,26,9,964.08,-1,7.25,0.0024535104934835,0.0,0.0,5.75,0.0759999999999999,0.0116140543825143
sbm10k,n2v,28,9,948.98,-1,7.25,0.001280003369475,0.0,0.0,5.25,0.0679999999999999,0.0110332506905263
sbm10k,n2v,30,9,927.96,-1,7.0,0.0003623423896534,0.0,0.0,5.75,0.0655,0.0108430479017663
sbm10k,n2v,32,9,973.0,-1,7.25,0.0004092556552833,0.0,0.0,4.5,0.0584999999999999,0.0102855890545947
