graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
email,hope,8,katz,14.17,210,10.0,0.0900573649071141,0.0,0.0,1.5,0.1049999999999999,0.0060084470539399
email,hope,8,aa,14.0,210,10.0,0.0858499952082648,0.0,0.0,1.5,0.1055,0.0060210533264537
email,hope,10,ppr,14.0,210,10.0,0.1491941172451027,0.0,0.0,8.25,0.1182999999999999,0.0063300751225874
email,hope,10,katz,14.33,210,8.75,0.0746549413445902,0.0,0.0,2.5,0.1007,0.005898249008104
email,hope,10,aa,14.25,210,9.25,0.0749649077161552,0.0,0.0,1.5,0.1021999999999999,0.0059370583848906
email,hope,12,ppr,14.14,210,10.0,0.1491835263428472,0.0,0.0,9.5,0.1181999999999999,0.0063277579316532
email,hope,12,katz,14.18,210,7.0,0.0740736844607257,0.0,0.0,2.75,0.0960999999999999,0.0057766753177238
email,hope,12,aa,14.08,210,7.5,0.0736330000988309,0.0,0.0,2.5,0.0977,0.0058194083370734
email,hope,14,ppr,17.47,210,10.0,0.1491260915270224,0.0,0.0,10.0,0.1180999999999999,0.0063254392845398
email,hope,14,katz,17.39,210,7.25,0.0626190882725626,0.0,0.0,3.0,0.0931999999999999,0.0056979650790084
email,hope,14,aa,16.91,210,7.75,0.0647240904541362,0.0,0.0,3.0,0.0947,0.0057388823428956
email,hope,16,ppr,17.69,210,10.0,0.1490417331172197,0.0,0.0,9.0,0.1175,0.0063114967321547
email,hope,16,katz,27.43,210,7.0,0.0603519819052659,0.0,0.0,2.25,0.0917999999999999,0.005659370943983
email,hope,16,aa,20.73,210,7.75,0.060049018725503,0.0,0.0,3.25,0.0938999999999999,0.0057171150597482
email,hope,18,ppr,14.7,210,10.0,0.1490195490354342,0.0,0.0,9.5,0.1163999999999999,0.0062857979228097
email,hope,18,katz,16.04,210,6.75,0.0611470316575512,0.0,0.0,2.25,0.0911999999999999,0.0056427089460293
email,hope,18,aa,14.55,210,7.5,0.0580043591360969,0.0,0.0,3.0,0.0928,0.005686978419653
email,hope,20,ppr,14.51,210,10.0,0.1488853140672493,0.0,0.0,6.0,0.1181999999999999,0.0063277579316532
email,hope,20,katz,15.6,210,6.25,0.0603244597388789,0.0,0.0,2.5,0.0896,0.0055979137233794
email,hope,20,aa,16.96,210,8.0,0.0627798808269768,0.0,0.0,2.25,0.0981999999999999,0.0058326636215026
email,hope,22,ppr,15.07,210,10.0,0.1487829099470787,0.0,0.0,8.75,0.118,0.0063231191796454
email,hope,22,katz,15.24,210,6.25,0.0601586378756403,0.0,0.0,2.5,0.0888999999999999,0.0055781472592967
email,hope,22,aa,18.6,210,7.5,0.0618492437003075,0.0,0.0,2.5,0.0976,0.0058167516741219
email,hope,24,ppr,19.27,210,10.0,0.1487621082259375,0.0,0.0,10.0,0.1181999999999999,0.0063277579316532
email,hope,24,katz,15.18,210,6.0,0.0607168435735883,0.0,0.0,2.5,0.0877,0.0055440189423918
email,hope,24,aa,15.25,210,7.5,0.061977759428637,0.0,0.0,2.75,0.0975,0.0058140931365089
email,hope,26,ppr,15.38,210,10.0,0.1486787396657181,0.0,0.0,1.5,0.1209,0.0063898161374487
email,hope,26,katz,14.42,210,6.0,0.058108456564403,0.0,0.0,2.5,0.0847999999999999,0.0054602434079077
