graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,18,9,1.36,-1,kmeans,30,1,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.43,-1,kmeans,30,2,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.28,-1,kmeans,30,3,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.3,-1,kmeans,30,4,0.9951436463818892,0.995121742522778
sbm10k,n2v,18,9,1.61,-1,kmeans,30,5,0.9840269292834511,0.9551452055811368
sbm10k,n2v,18,9,1.21,-1,kmeans,30,6,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.37,-1,kmeans,30,7,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.41,-1,kmeans,30,8,0.9837395580887484,0.9553960375183324
sbm10k,n2v,18,9,1.14,-1,kmeans,30,9,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.41,-1,kmeans,30,10,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.43,-1,kmeans,30,11,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.25,-1,kmeans,30,12,0.9951436463818892,0.995121742522778
sbm10k,n2v,18,9,1.45,-1,kmeans,30,13,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.31,-1,kmeans,30,14,0.9951436463818892,0.995121742522778
sbm10k,n2v,18,9,1.31,-1,kmeans,30,15,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.33,-1,kmeans,30,16,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.33,-1,kmeans,30,17,0.9951436463818896,0.995121742522778
sbm10k,n2v,18,9,1.13,-1,kmeans,30,18,0.9821761784701972,0.9535845785563798
sbm10k,n2v,18,9,1.06,-1,kmeans,30,19,0.9951436463818896,0.995121742522778
sbm10k,n2v,20,9,2.05,-1,kmeans,30,0,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,2.36,-1,kmeans,30,1,0.9874908320990144,0.961442984018784
sbm10k,n2v,20,9,1.95,-1,kmeans,30,2,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,2.06,-1,kmeans,30,3,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,1.95,-1,kmeans,30,4,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,2.09,-1,kmeans,30,5,0.9865688724087308,0.9579547896489344
sbm10k,n2v,20,9,1.55,-1,kmeans,30,6,0.9981805681273508,0.9981822384981828
sbm10k,n2v,20,9,2.1,-1,kmeans,30,7,0.9872976707174584,0.9622638114712858
sbm10k,n2v,20,9,1.91,-1,kmeans,30,8,0.998180568127351,0.9981822384981828
sbm10k,n2v,20,9,2.07,-1,kmeans,30,9,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,2.18,-1,kmeans,30,10,0.988134354955935,0.96345740754216
sbm10k,n2v,20,9,2.06,-1,kmeans,30,11,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,2.15,-1,kmeans,30,12,0.9880327659830472,0.9629208416456724
sbm10k,n2v,20,9,2.06,-1,kmeans,30,13,0.9981805681273512,0.9981822384981828
sbm10k,n2v,20,9,2.05,-1,kmeans,30,14,0.9983813677342582,0.9983748072740064
sbm10k,n2v,20,9,2.2,-1,kmeans,30,15,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,1.78,-1,kmeans,30,16,0.9981805681273512,0.9981822384981828
sbm10k,n2v,20,9,1.35,-1,kmeans,30,17,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,1.71,-1,kmeans,30,18,0.998381367734258,0.9983748072740064
sbm10k,n2v,20,9,1.73,-1,kmeans,30,19,0.998381367734258,0.9983748072740064
sbm10k,n2v,22,9,2.22,-1,kmeans,30,0,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,2.03,-1,kmeans,30,1,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,2.43,-1,kmeans,30,2,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,2.24,-1,kmeans,30,3,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.75,-1,kmeans,30,4,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.83,-1,kmeans,30,5,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.87,-1,kmeans,30,6,0.9967657902084908,0.9967714359200874
